Date,Close/Last,Volume,Open,High,Low
05/07/2021,$10.99,15043660,$10.77,$11.165,$10.74
05/06/2021,$10.71,30496210,$10.65,$10.8,$10.32
05/05/2021,$10.14,21986590,$10.31,$10.465,$10.055
05/04/2021,$10.19,20099000,$10.56,$10.5889,$10.0401
05/03/2021,$10.63,15346500,$10.86,$10.95,$10.6
04/30/2021,$10.82,11311170,$11.05,$11.12,$10.82
04/29/2021,$11.12,8748266,$11.154,$11.17,$10.98
04/28/2021,$11.06,12559040,$11,$11.22,$10.95
04/27/2021,$11.02,17700690,$11.02,$11.37,$10.97
04/26/2021,$11.03,16151900,$10.76,$11.07,$10.69
04/23/2021,$10.67,11957980,$10.66,$10.79,$10.59
04/22/2021,$10.63,8831547,$10.58,$10.77,$10.52
04/21/2021,$10.59,9788504,$10.41,$10.6,$10.37
04/20/2021,$10.48,9805043,$10.56,$10.62,$10.44
04/19/2021,$10.59,18696400,$10.89,$10.8918,$10.49
04/16/2021,$10.56,16136420,$10.69,$10.71,$10.43
04/15/2021,$10.73,9879294,$10.65,$10.78,$10.52
04/14/2021,$10.56,8034925,$10.598,$10.83,$10.53
04/13/2021,$10.66,9737655,$10.74,$10.835,$10.61
04/12/2021,$10.68,9252674,$10.51,$10.69,$10.505
04/09/2021,$10.61,11285810,$10.62,$10.64,$10.5
04/08/2021,$10.68,14150620,$10.72,$10.81,$10.62
04/07/2021,$10.55,7119716,$10.47,$10.55,$10.41
04/06/2021,$10.54,16724820,$10.59,$10.75,$10.46
04/05/2021,$10.66,13527300,$10.51,$10.69,$10.42
04/01/2021,$10.48,11643370,$10.26,$10.5,$10.26
03/31/2021,$10.21,14837210,$10.08,$10.365,$10.075
03/30/2021,$10.06,13041680,$10.01,$10.1,$9.935
03/29/2021,$10.09,11468860,$10.05,$10.115,$9.96
03/26/2021,$10.06,14692300,$9.81,$10.07,$9.78
03/25/2021,$9.82,20257850,$9.605,$9.83,$9.58
03/24/2021,$9.72,20291530,$10,$10.01,$9.67
03/23/2021,$9.98,15002050,$10.05,$10.12,$9.865
03/22/2021,$10.03,17136270,$10.05,$10.22,$10
03/19/2021,$9.98,15583670,$9.93,$10.07,$9.77
03/18/2021,$9.89,10571850,$10,$10.05,$9.83
03/17/2021,$10.13,18048580,$10.162,$10.17,$9.8
03/16/2021,$10.31,12077420,$10.06,$10.47,$10.05
03/15/2021,$10.28,14566240,$10.2,$10.3,$10.02
03/12/2021,$10.16,12408840,$10.1,$10.17,$9.96
03/11/2021,$10.21,14986520,$10.2,$10.26,$10.02
03/10/2021,$9.95,22448710,$10.38,$10.41,$9.92
03/09/2021,$10.28,17765780,$10.25,$10.47,$10.11
03/08/2021,$9.85,23107300,$10.32,$10.4,$9.83
03/05/2021,$10.31,24459100,$10.556,$10.57,$9.8
03/04/2021,$10.48,32835030,$10.96,$11.1,$10.17
03/03/2021,$11.09,20000300,$11.45,$11.49,$11.01
03/02/2021,$11.39,9378996,$11.65,$11.69,$11.36
03/01/2021,$11.56,15259170,$11.28,$11.615,$11.28
02/26/2021,$11.15,30034140,$11.105,$11.48,$10.969
02/25/2021,$11.04,12682360,$11.195,$11.389,$11.02
